chip,filter_regime,group,comparison,latent__model_id,latent__chip,latent__filter_regime,complexity__kappa_delta,complexity__effrank_delta,complexity__sparsity_delta,complexity__composite_kappa_delta,entropy__shannon_delta,entropy__spectral_delta,mp__spectral_entropy_delta,mp__participation_ratio_delta,mp__largest_eigenvalue_fraction_delta,mp__excess_spectral_mass_delta,latent__pr_delta,latent__eig_entropy_delta,latent__centroid_distance,n_structural_metrics_available,latent__anisotropy_delta,latent__radius_delta,complexity_direction,entropy_direction,mp_direction,latent_direction,n_direction_metrics_available,n_positive_direction_metrics,n_negative_direction_metrics,n_near_zero_direction_metrics,engine_sign_majority,engine_sign_agreement_fraction
hu35ksuba,limma,carcinomas,BLAD/TCC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,15.86,0.09000000000000008,0,-1.9199999999999875,0.658,0.091,0.5924624787516461,3.095013236727349,-0.1852941969992425,-185.08667189317225,0.03242986832782435,0.09149530794372684,38.86635078543544,13,0.02567274588747103,-2.197591639938583,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,limma,carcinomas,BR/BRAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,23.44,0.7700000000000002,0,19.17,1.144,0.606,1.0851564653356793,3.688992907970154,-0.37960882471517154,-73.52727485399276,1.225161795636758,0.6643009577915008,35.51757903830364,13,-0.22875755144971857,4.361136175296636,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,limma,carcinomas,COL/COADREAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-75.9,0.2999999999999998,0,-300.32,0.005,0.286,-0.06009464962347755,-0.9871128135442948,0.07867158579845585,1.4099092946367477,0.28044173719284515,0.20096526056886277,25.23761229507801,13,-0.0056431991581678,8.350077737549444,positive,positive,negative,positive,4,3,1,0,positive,0.75
hu35ksuba,limma,carcinomas,KID/RCC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-24.9,0.21999999999999997,0,-204.39,-0.119,0.227,-0.033026736945755975,0.13330147164197026,-0.01478632226048937,-15.668304446971554,-0.21424792979112528,-0.06504743111835376,17.16409086737303,13,0.04336119297881075,11.137916380722046,positive,positive,negative,negative,4,2,2,0,positive,0.5
hu35ksuba,limma,carcinomas,OV/OVAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,108.12,0.07000000000000006,0,202.16,1.461,0.053,NA,NA,NA,NA,0.2688214212111153,0.29342768605971425,25.847101081968628,9,-0.03356395733621764,10.346574058061034,positive,positive,NA,positive,3,3,0,0,positive,1
hu35ksuba,limma,carcinomas,PA/PAAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-32.86,0.49,0,-123.44,0.002,0.437,-0.6854750828290541,-3.7871975669686675,0.37768812053340606,75.22245578303061,-0.41260394593940086,-0.08564329527603554,24.020789985553503,13,0.07047588058699261,1.7063534455500289,positive,positive,negative,negative,4,2,2,0,positive,0.5
hu35ksuba,limma,carcinomas,UT/EAC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,32.96,-0.1499999999999999,0,96.08,0.732,-0.133,0.6628943770188775,3.3935646011305227,-0.23166983466452995,-44.3088236953011,2.3965193055418057,0.9481379713936858,26.499227794457173,13,-0.4287734720048389,4.971990788756795,negative,negative,positive,positive,4,2,2,0,positive,0.5
hu35ksuba,limma,blastomas,Brain/GBM,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-24.66,0.21999999999999997,0,-78.81,0.323,0.214,0.32521763537067594,2.137562514315195,-0.08048486569081706,-67.44491797470351,1.3101064058543206,0.43779042506273425,26.573302833562675,13,-0.164027576490885,4.097759026755892,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,limma,blastomas,Brain/MB,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-15.54,0.22999999999999998,0,-64.32999999999998,0.326,0.206,0.29762026926385343,1.5544402762490783,-0.062247547007129866,-52.83837668113617,0.8436079751323318,0.2875756887456935,33.63082454360858,13,-0.13661042197450357,1.24023112775485,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,limma,lymphomas,GC/FL,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,20.58,0.22999999999999998,0,11.060000000000002,0.88,0.242,0.9672034912680836,4.573419290589538,-0.3651239409268659,-434.929443709447,2.0033105670312543,0.8813458406346288,28.379364604865255,13,-0.40657474858556,-0.8972040594178985,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,limma,lymphomas,GC/LBCL,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,29.17,0.10999999999999988,0,47.72999999999999,0.878,0.121,0.9967043988382405,5.105301069703252,-0.37580589345544524,-318.90736074356823,3.0109370905933504,1.0949567775255276,25.54604953133279,13,-0.514816433719397,-6.640294698551418,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,variance_comparison,carcinomas,BLAD/TCC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,9.36,0.33000000000000007,0,-10.909999999999997,0.657,0.263,0.5319098091598102,2.5728141812473684,-0.14430249626977776,-89.88185356472945,0.03242986832782435,0.09149530794372684,38.86635078543544,13,0.02567274588747103,-2.197591639938583,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,variance_comparison,carcinomas,BR/BRAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-0.57,1.15,0,-34.170000000000016,1.143,0.781,1.0030917250200337,3.4419628407442926,-0.34904614042408355,-290.41014254247034,1.225161795636758,0.6643009577915008,35.51757903830364,13,-0.22875755144971857,4.361136175296636,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,variance_comparison,carcinomas,COL/COADREAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-49.47,0.29000000000000004,0,-130.26,0,0.224,0.07741791048412638,0.26928925966876793,-0.0069355814676463345,-164.3719418368994,0.28044173719284515,0.20096526056886277,25.23761229507801,13,-0.0056431991581678,8.350077737549444,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,variance_comparison,carcinomas,KID/RCC,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,-31.62,0.5999999999999999,0,-112.75999999999999,-0.125,0.458,-0.015612320281915837,0.5420535885171915,-0.07736840491148067,-30.603457235133646,-0.21424792979112528,-0.06504743111835376,17.16409086737303,13,0.04336119297881075,11.137916380722046,positive,positive,negative,negative,4,2,2,0,positive,0.5
hu35ksuba,variance_comparison,carcinomas,LU/LUAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,8.18,0.30999999999999983,0,8.209999999999994,0.653,0.229,0.6116171231629561,1.7899636429430075,-0.187073914742296,-277.515595958474,0.8296518136375493,0.4353216822936152,15.243724594175744,13,-0.13305952780598795,4.318602797607163,positive,positive,positive,positive,4,4,0,0,positive,1
hu35ksuba,variance_comparison,carcinomas,OV/OVAD,hu35ksuba_variance_global_top3000_vae_z10,hu35ksuba,variance_global,71.06,0.6300000000000001,0,109.88999999999999,1.462,0.535,NA,NA,NA,NA,0.2688214212111153,0.29342768605971425,25.847101081968628,9,-0.03356395733621764,10.346574058061034,positive,positive,NA,positive,3,3,0,0,positive,1
