metric_x,metric_y,engine_x,engine_y,method,n_complete,estimate,p_value,p_fdr,abs_estimate,engine_pair
complexity__effrank_delta,entropy__spectral_delta,complexity,entropy,spearman,81,0.9933718220379957,5.412231680120819e-76,4.925130828909946e-74,0.9933718220379957,complexity__entropy
latent__pr_delta,latent__anisotropy_delta,latent,latent,spearman,69,-0.9797010314964975,1.70761677421022e-48,5.179770881771001e-47,0.9797010314964975,latent__latent
complexity__kappa_delta,complexity__composite_kappa_delta,complexity,complexity,spearman,81,0.9704965436226448,1.4459276798890999e-50,6.578970943495404e-49,0.9704965436226448,complexity__complexity
latent__eig_entropy_delta,latent__anisotropy_delta,latent,latent,spearman,69,-0.9434055932483866,7.881292761128057e-34,1.792994103156633e-32,0.9434055932483866,latent__latent
mp__spectral_entropy_delta,mp__participation_ratio_delta,mp,mp,spearman,75,0.92500782650767,2.0967291695751067e-32,3.816047088626694e-31,0.92500782650767,mp__mp
latent__pr_delta,latent__eig_entropy_delta,latent,latent,spearman,69,0.9098681670252083,2.6855779434157595e-27,3.0548449106354265e-26,0.9098681670252083,latent__latent
mp__participation_ratio_delta,mp__largest_eigenvalue_fraction_delta,mp,mp,spearman,75,-0.90986709166975,1.3136379150127006e-29,1.9923508377692625e-28,0.90986709166975,mp__mp
entropy__shannon_delta,mp__spectral_entropy_delta,entropy,mp,spearman,75,0.8976527505619335,1.0889039142621624e-27,1.4155750885408112e-26,0.8976527505619335,entropy__mp
mp__spectral_entropy_delta,mp__largest_eigenvalue_fraction_delta,mp,mp,spearman,75,-0.8737797763041808,1.4826775334456067e-24,1.499151728261669e-23,0.8737797763041808,mp__mp
complexity__kappa_delta,entropy__shannon_delta,complexity,entropy,spearman,81,0.8523427283907647,6.021447833811383e-24,5.479517528768358e-23,0.8523427283907647,complexity__entropy
mp__spectral_entropy_delta,latent__eig_entropy_delta,mp,latent,spearman,63,0.8125322808573364,6.253851348698712e-16,4.7425039394298564e-15,0.8125322808573364,mp__latent
complexity__composite_kappa_delta,entropy__shannon_delta,complexity,entropy,spearman,81,0.7899083975704125,1.874825108874802e-18,1.5509916809782454e-17,0.7899083975704125,complexity__entropy
mp__spectral_entropy_delta,latent__anisotropy_delta,mp,latent,spearman,63,-0.757921628375571,6.397999697346792e-13,3.88145314972372e-12,0.757921628375571,mp__latent
complexity__kappa_delta,mp__spectral_entropy_delta,complexity,mp,spearman,75,0.7543045792184878,5.5755245117066796e-15,3.902867158194676e-14,0.7543045792184878,complexity__mp
entropy__shannon_delta,mp__participation_ratio_delta,entropy,mp,spearman,75,0.7151927046269998,5.656351860528881e-13,3.676628709343773e-12,0.7151927046269998,entropy__mp
mp__participation_ratio_delta,latent__eig_entropy_delta,mp,latent,spearman,63,0.7060342785109455,1.024845656016066e-10,5.181164149859e-10,0.7060342785109455,mp__latent
complexity__composite_kappa_delta,mp__spectral_entropy_delta,complexity,mp,spearman,75,0.7030765290149985,2.0305868619543237e-12,1.1548962777365216e-11,0.7030765290149985,complexity__mp
mp__spectral_entropy_delta,latent__pr_delta,mp,latent,spearman,63,0.6986355714006622,1.9348468361071596e-10,9.266898004513239e-10,0.6986355714006622,mp__latent
entropy__shannon_delta,latent__eig_entropy_delta,entropy,latent,spearman,69,0.6967373608187496,2.9566258880235556e-11,1.582664445942021e-10,0.6967373608187496,entropy__latent
mp__participation_ratio_delta,latent__anisotropy_delta,mp,latent,spearman,63,-0.6830910564621191,6.922124483079232e-10,2.999587276001e-9,0.6830910564621191,mp__latent
entropy__shannon_delta,mp__largest_eigenvalue_fraction_delta,entropy,mp,spearman,75,-0.6468235674273206,3.6274793223569005e-10,1.6505030916723898e-9,0.6468235674273206,entropy__mp
mp__participation_ratio_delta,latent__pr_delta,mp,latent,spearman,63,0.6437598186641308,1.2610663033892918e-8,4.4137320618625215e-8,0.6437598186641308,mp__latent
mp__largest_eigenvalue_fraction_delta,mp__excess_spectral_mass_delta,mp,mp,spearman,75,0.6350001423001395,9.4385768759522e-10,3.904138616871138e-9,0.6350001423001395,mp__mp
complexity__kappa_delta,mp__largest_eigenvalue_fraction_delta,complexity,mp,spearman,75,-0.6301619375586989,1.3797128868195886e-9,5.458864030460111e-9,0.6301619375586989,complexity__mp
complexity__kappa_delta,mp__participation_ratio_delta,complexity,mp,spearman,75,0.6274297748811795,1.7046816372412799e-9,6.463584541206519e-9,0.6274297748811795,complexity__mp
