group,comparison,n_assignments,n_chips,n_filter_regimes,chips_seen,filter_regimes_seen,n_unique_quadrants,modal_quadrant,modal_quadrant_fraction,stable_all_assignments,high_confidence_fraction,median_distance_from_boundary_z,stability_class
carcinomas,BLAD/TCC,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,1,I,1,TRUE,0.8333333333333334,1.098482337909262,cross-chip/cross-filter stable
carcinomas,BR/BRAD,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,1,I,1,TRUE,1,2.0672045951039992,cross-chip/cross-filter stable
blastomas,Brain/GBM,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,1,I,1,TRUE,0,0.5027821200145852,cross-chip/cross-filter stable
lymphomas,GC/FL,3,1,3,hu35ksuba,limma;variance_comparison;variance_global,1,I,1,TRUE,0.6666666666666666,1.6205600079451457,stable among available assignments
lymphomas,GC/LBCL,3,1,3,hu35ksuba,limma;variance_comparison;variance_global,1,I,1,TRUE,0,0.6551200032118673,stable among available assignments
carcinomas,LU/LUAD,5,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,1,I,1,TRUE,1,1.3752904280650133,cross-chip/cross-filter stable
leukemias,PB/T-ALL,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,1,II,1,TRUE,0,0.396520001944025,cross-chip/cross-filter stable
carcinomas,PR/PRAD,4,2,2,hu35ksuba;hu6800,variance_comparison;variance_global,1,I,1,TRUE,0,0.2551964046514292,cross-chip/cross-filter stable
blastomas,Brain/MB,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,2,I,0.8333333333333334,FALSE,0,0.6407445245750678,majority-stable
carcinomas,COL/COADREAD,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,2,I,0.8333333333333334,FALSE,0,0.10978163113970021,majority-stable
carcinomas,KID/RCC,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,2,IV,0.8333333333333334,FALSE,0,0.13074124474002186,majority-stable
carcinomas,UT/EAC,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,2,I,0.8333333333333334,FALSE,0,0.34480000169045644,majority-stable
carcinomas,PA/PAAD,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,2,IV,0.6666666666666666,FALSE,0.3333333333333333,0.38161858763669326,unstable
leukemias,PB/B-ALL,6,2,3,hu35ksuba;hu6800,limma;variance_comparison;variance_global,2,II,0.6666666666666666,FALSE,0,0.31032000152141115,unstable
