comparison,mean_trajectory_length,max_trajectory_length,mean_net_displacement,max_net_displacement,total_boundary_crossings,chip_quadrant_paths
BLAD/TCC,0.11603360427194066,0.1898268671247009,0.11603360427194066,0.1898268671247009,1,QI -> QII -> QII | QII -> QII -> QII
BR/BRAD,0.48846610713803634,0.6767425295164908,0.48846610713803634,0.6767425295164908,1,QI -> QII -> QII | QI -> QI -> QI
Brain/GBM,0.24408306106929567,0.27046486458594554,0.24408306106929567,0.27046486458594554,0,QIII -> QIII -> QIII
Brain/MB,0.29564328839407084,0.3264348134624625,0.29564328839407084,0.3264348134624625,0,QIII -> QIII -> QIII
COL/COADREAD,0.32861076449923404,0.5610541287231472,0.32861076449923404,0.5610541287231472,0,QIII -> QIII -> QIII
GC/FL,0.08803358494239266,0.08803358494239266,0.08803358494239266,0.08803358494239266,0,QI -> QI -> QI
GC/LBCL,0.25014142410761414,0.25014142410761414,0.25014142410761414,0.25014142410761414,0,QI -> QI -> QI
KID/RCC,0.8087037828377626,1.1472442573379114,0.8087037828377626,1.1472442573379114,0,QIII -> QIII -> QIII
LU/LUAD,0.6127654949573671,1.2255309899147342,0.6127654949573671,1.2255309899147342,0,QI -> QI | QI -> QI -> QI
OV/OVAD,0,0,NA,NA,0,NA -> NA -> NA
PA/PAAD,0.5364118129774162,0.55400530726659,0.5364118129774162,0.55400530726659,0,QIII -> QIII -> QIII
PB/B-ALL,0.532117484646864,0.6796848924860925,0.532117484646864,0.6796848924860925,0,QI -> QI -> QI
PB/T-ALL,0.19353730354870896,0.24921123073472734,0.19353730354870896,0.24921123073472734,0,QI -> QI -> QI
PR/PRAD,0,0,0,0,0,QIV -> QIV | QIII -> QIII
UT/EAC,0.6381134867083987,0.8702019506501572,0.6381134867083987,0.8702019506501572,0,QI -> QI -> QI
