chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes
hu35ksuba,variance_global,blastomas,Brain/GBM,complexity,effrank_delta,0.32000000000000006,tumor_greater,permutation_available,0.67,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,blastomas,Brain/GBM,complexity,kappa_delta,-15.18,tumor_lower,permutation_available,0.67,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,blastomas,Brain/GBM,entropy,shannon_delta,0.322,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,blastomas,Brain/GBM,entropy,spectral_delta,0.254,tumor_greater,permutation_available,0.04,0.15,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,excess_spectral_mass_delta,-198.79821972566185,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,largest_eigenvalue_fraction_delta,-0.004367290313128547,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,participation_ratio_delta,1.2706799910415585,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,spectral_entropy_delta,0.27742067719719987,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/MB,complexity,effrank_delta,0.44000000000000017,tumor_greater,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,blastomas,Brain/MB,complexity,kappa_delta,-5.29,tumor_lower,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,blastomas,Brain/MB,entropy,shannon_delta,0.324,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,blastomas,Brain/MB,entropy,spectral_delta,0.329,tumor_greater,permutation_available,0.15,0.25,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,blastomas,Brain/MB,mp,excess_spectral_mass_delta,-100.10065899324695,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/MB,mp,largest_eigenvalue_fraction_delta,-0.03685899728791803,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/MB,mp,participation_ratio_delta,1.0886541178207638,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/MB,mp,spectral_entropy_delta,0.2397475745133062,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BLAD/TCC,complexity,effrank_delta,0.33000000000000007,tumor_greater,permutation_available,0.91,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,BLAD/TCC,complexity,kappa_delta,9.36,tumor_greater,permutation_available,0.91,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,BLAD/TCC,entropy,shannon_delta,0.657,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,BLAD/TCC,entropy,spectral_delta,0.263,tumor_greater,permutation_available,0.13,0.24375000000000002,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,excess_spectral_mass_delta,-89.88185356472945,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,largest_eigenvalue_fraction_delta,-0.14430249626977776,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,participation_ratio_delta,2.5728141812473684,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,spectral_entropy_delta,0.5319098091598102,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BR/BRAD,complexity,effrank_delta,1.15,tumor_greater,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
