chip,filter_regime,group,comparison,complexity__effrank_delta,complexity__kappa_delta,entropy__shannon_delta,entropy__spectral_delta,mp__excess_spectral_mass_delta,mp__largest_eigenvalue_fraction_delta,mp__participation_ratio_delta,mp__spectral_entropy_delta,latent__centroid_distance,latent__latent_eig_entropy_delta,latent__latent_pr_delta
hu35ksuba,variance_global,blastomas,Brain/GBM,0.32000000000000006,-15.18,0.322,0.254,-198.79821972566185,-0.004367290313128547,1.2706799910415585,0.27742067719719987,26.573302833562675,0.43779042506273425,1.3101064058543206
hu35ksuba,variance_global,blastomas,Brain/MB,0.44000000000000017,-5.29,0.324,0.329,-100.10065899324695,-0.03685899728791803,1.0886541178207638,0.2397475745133062,33.63082454360858,0.2875756887456935,0.8436079751323318
hu35ksuba,variance_global,carcinomas,BLAD/TCC,0.33000000000000007,9.36,0.657,0.263,-89.88185356472945,-0.14430249626977776,2.5728141812473684,0.5319098091598102,38.86635078543544,0.09149530794372684,0.03242986832782435
hu35ksuba,variance_global,carcinomas,BR/BRAD,1.15,-0.57,1.143,0.781,-290.41014254247034,-0.34904614042408355,3.4419628407442926,1.0030917250200337,35.51757903830364,0.6643009577915008,1.225161795636758
hu35ksuba,variance_global,carcinomas,COL/COADREAD,0.29000000000000004,-49.47,0,0.224,-164.3719418368994,-0.0069355814676463345,0.26928925966876793,0.07741791048412638,25.23761229507801,0.20096526056886277,0.28044173719284515
hu35ksuba,variance_global,carcinomas,KID/RCC,0.5999999999999999,-31.62,-0.125,0.458,-30.603457235133646,-0.07736840491148067,0.5420535885171915,-0.015612320281915837,17.16409086737303,-0.06504743111835376,-0.21424792979112528
hu35ksuba,variance_global,carcinomas,LU/LUAD,0.30999999999999983,8.18,0.653,0.229,-277.515595958474,-0.187073914742296,1.7899636429430075,0.6116171231629561,15.243724594175744,0.4353216822936152,0.8296518136375493
hu35ksuba,variance_global,carcinomas,OV/OVAD,0.6300000000000001,71.06,1.462,0.535,NA,NA,NA,NA,25.847101081968628,0.29342768605971425,0.2688214212111153
hu35ksuba,variance_global,carcinomas,PA/PAAD,-0.1499999999999999,-28.22,-0.003,-0.105,196.31023227786523,0.11721881364642794,-1.4673351970494188,-0.15227582071078016,24.020789985553503,-0.08564329527603554,-0.41260394593940086
hu35ksuba,variance_global,carcinomas,PR/PRAD,0.2699999999999998,14.24,0.152,0.221,-131.18500348449084,-0.10362057738918279,1.1415148905021333,0.17333324661105132,12.516527930872783,0.18388723722649747,0.8979438861305238
hu35ksuba,variance_global,carcinomas,UT/EAC,0.26,16.8,0.738,0.203,-385.26473309261235,-0.30996182845258163,3.5017800828938372,0.7710327892715569,26.499227794457173,0.9481379713936858,2.3965193055418057
hu35ksuba,variance_global,leukemias,PB/B-ALL,0.010000000000000009,37.09,1.006,0.004,-426.5348450141954,-0.309298512942816,3.9777059572361364,0.9313011198551144,NA,NA,NA
hu35ksuba,variance_global,leukemias,PB/T-ALL,-0.009999999999999787,29.62,1.005,-0.005,-306.30587536288454,-0.2636108278343209,3.2921406727617084,0.8757729492541968,NA,NA,NA
hu35ksuba,variance_global,lymphomas,GC/FL,0.47,12,0.88,0.428,-399.3381397393763,-0.2824106824312599,3.6591370121368767,0.8406973709045404,28.379364604865255,0.8813458406346288,2.0033105670312543
hu35ksuba,variance_global,lymphomas,GC/LBCL,0.18999999999999995,10.7,0.878,0.187,-596.033399116825,-0.3353634548799114,4.679884462461504,0.9413695647734819,25.54604953133279,1.0949567775255276,3.0109370905933504
