chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes
hu35ksuba,limma,blastomas,Brain/GBM,complexity,effrank_delta,0.21999999999999997,tumor_greater,permutation_available,0.67,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,blastomas,Brain/GBM,complexity,kappa_delta,-24.66,tumor_lower,permutation_available,0.67,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,blastomas,Brain/GBM,entropy,shannon_delta,0.323,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,blastomas,Brain/GBM,entropy,spectral_delta,0.214,tumor_greater,permutation_available,0.03,0.0975,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,blastomas,Brain/GBM,mp,excess_spectral_mass_delta,-67.44491797470351,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,blastomas,Brain/GBM,mp,largest_eigenvalue_fraction_delta,-0.08048486569081706,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,blastomas,Brain/GBM,mp,participation_ratio_delta,2.137562514315195,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,blastomas,Brain/GBM,mp,spectral_entropy_delta,0.32521763537067594,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,limma,blastomas,Brain/MB,complexity,effrank_delta,0.22999999999999998,tumor_greater,permutation_available,0.72,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,blastomas,Brain/MB,complexity,kappa_delta,-15.54,tumor_lower,permutation_available,0.72,0.99,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,limma,blastomas,Brain/MB,entropy,shannon_delta,0.326,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,blastomas,Brain/MB,entropy,spectral_delta,0.206,tumor_greater,permutation_available,0.2,0.37142857142857144,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,limma,blastomas,Brain/MB,mp,excess_spectral_mass_delta,-52.83837668113617,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
