chip,gene_set_mode,gene_set_id,gene_set_normalized,gene_set_name,go_ontology,root_node,n_probes
hu35ksuba,GO_MF,GO:0000009,GO:0000009,"alpha-1,6-mannosyltransferase activity",MF,molecular_function,2
hu35ksuba,GO_BP,GO:0000012,GO:0000012,single strand break repair,BP,biological_process,4
hu35ksuba,GO_MF,GO:0000014,GO:0000014,single-stranded DNA endodeoxyribonuclease activity,MF,molecular_function,5
hu35ksuba,GO_BP,GO:0000018,GO:0000018,regulation of DNA recombination,BP,biological_process,1
hu35ksuba,GO_BP,GO:0000022,GO:0000022,mitotic spindle elongation,BP,biological_process,2
hu35ksuba,GO_BP,GO:0000027,GO:0000027,ribosomal large subunit assembly,BP,biological_process,8
hu35ksuba,GO_BP,GO:0000028,GO:0000028,ribosomal small subunit assembly,BP,biological_process,3
hu35ksuba,GO_MF,GO:0000030,GO:0000030,mannosyltransferase activity,MF,molecular_function,13
hu35ksuba,GO_MF,GO:0000033,GO:0000033,"alpha-1,3-mannosyltransferase activity",MF,molecular_function,2
hu35ksuba,GO_MF,GO:0000035,GO:0000035,acyl binding,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0000036,GO:0000036,acyl carrier activity,MF,molecular_function,1
hu35ksuba,GO_BP,GO:0000038,GO:0000038,very long-chain fatty acid metabolic process,BP,biological_process,4
hu35ksuba,GO_BP,GO:0000045,GO:0000045,autophagosome assembly,BP,biological_process,49
hu35ksuba,GO_MF,GO:0000048,GO:0000048,peptidyltransferase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0000049,GO:0000049,tRNA binding,MF,molecular_function,45
hu35ksuba,GO_BP,GO:0000050,GO:0000050,urea cycle,BP,biological_process,1
hu35ksuba,GO_BP,GO:0000054,GO:0000054,ribosomal subunit export from nucleus,BP,biological_process,2
hu35ksuba,GO_BP,GO:0000055,GO:0000055,ribosomal large subunit export from nucleus,BP,biological_process,3
hu35ksuba,GO_BP,GO:0000056,GO:0000056,ribosomal small subunit export from nucleus,BP,biological_process,2
hu35ksuba,GO_MF,GO:0000062,GO:0000062,fatty-acyl-CoA binding,MF,molecular_function,5
hu35ksuba,GO_MF,GO:0000064,GO:0000064,L-ornithine transmembrane transporter activity,MF,molecular_function,1
hu35ksuba,GO_BP,GO:0000070,GO:0000070,mitotic sister chromatid segregation,BP,biological_process,15
hu35ksuba,GO_BP,GO:0000076,GO:0000076,DNA replication checkpoint signaling,BP,biological_process,3
hu35ksuba,GO_BP,GO:0000077,GO:0000077,DNA damage checkpoint signaling,BP,biological_process,25
hu35ksuba,GO_BP,GO:0000079,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,BP,biological_process,8
hu35ksuba,GO_BP,GO:0000082,GO:0000082,G1/S transition of mitotic cell cycle,BP,biological_process,31
hu35ksuba,GO_BP,GO:0000086,GO:0000086,G2/M transition of mitotic cell cycle,BP,biological_process,18
hu35ksuba,GO_MF,GO:0000095,GO:0000095,S-adenosyl-L-methionine transmembrane transporter activity,MF,molecular_function,1
hu35ksuba,GO_BP,GO:0000096,GO:0000096,sulfur amino acid metabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0000098,GO:0000098,sulfur amino acid catabolic process,BP,biological_process,1
hu35ksuba,GO_BP,GO:0000103,GO:0000103,sulfate assimilation,BP,biological_process,1
hu35ksuba,GO_MF,GO:0000121,GO:0000121,glycerol-1-phosphatase activity,MF,molecular_function,1
hu35ksuba,GO_BP,GO:0000122,GO:0000122,negative regulation of transcription by RNA polymerase II,BP,biological_process,478
hu35ksuba,GO_BP,GO:0000132,GO:0000132,establishment of mitotic spindle orientation,BP,biological_process,13
hu35ksuba,GO_MF,GO:0000140,GO:0000140,acylglycerone-phosphate reductase activity,MF,molecular_function,1
hu35ksuba,GO_MF,GO:0000146,GO:0000146,microfilament motor activity,MF,molecular_function,13
hu35ksuba,GO_MF,GO:0000149,GO:0000149,SNARE binding,MF,molecular_function,38
hu35ksuba,GO_BP,GO:0000154,GO:0000154,rRNA modification,BP,biological_process,5
hu35ksuba,GO_BP,GO:0000165,GO:0000165,MAPK cascade,BP,biological_process,59
hu35ksuba,GO_MF,GO:0000166,GO:0000166,nucleotide binding,MF,molecular_function,877
hu35ksuba,GO_MF,GO:0000175,GO:0000175,3'-5'-exoribonuclease activity,MF,molecular_function,20
hu35ksuba,GO_MF,GO:0000179,GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",MF,molecular_function,4
hu35ksuba,GO_MF,GO:0000182,GO:0000182,rDNA binding,MF,molecular_function,3
hu35ksuba,GO_BP,GO:0000183,GO:0000183,rDNA heterochromatin assembly,BP,biological_process,6
hu35ksuba,GO_BP,GO:0000184,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,biological_process,23
hu35ksuba,GO_BP,GO:0000209,GO:0000209,protein polyubiquitination,BP,biological_process,100
hu35ksuba,GO_MF,GO:0000210,GO:0000210,NAD+ diphosphatase activity,MF,molecular_function,1
hu35ksuba,GO_BP,GO:0000212,GO:0000212,meiotic spindle organization,BP,biological_process,1
