ontology,go_id,go_name,root_node,n_chips,total_probe_memberships
BP,GO:0120552,GO:0120552,BP_UNSPECIFIED,1,6
BP,GO:0140645,GO:0140645,BP_UNSPECIFIED,1,5
BP,GO:0140673,GO:0140673,BP_UNSPECIFIED,2,23
BP,GO:0140694,GO:0140694,BP_UNSPECIFIED,2,23
BP,GO:0140718,GO:0140718,BP_UNSPECIFIED,1,6
BP,GO:0140719,GO:0140719,BP_UNSPECIFIED,1,5
BP,GO:0140861,GO:0140861,BP_UNSPECIFIED,2,23
BP,GO:0140896,GO:0140896,BP_UNSPECIFIED,1,5
BP,GO:0140958,GO:0140958,BP_UNSPECIFIED,1,6
BP,GO:0141005,GO:0141005,BP_UNSPECIFIED,1,5
BP,GO:0141014,GO:0141014,BP_UNSPECIFIED,1,7
BP,GO:0141091,GO:0141091,BP_UNSPECIFIED,2,18
BP,GO:0141111,GO:0141111,BP_UNSPECIFIED,1,5
BP,GO:0141124,GO:0141124,BP_UNSPECIFIED,1,5
BP,GO:0141156,GO:0141156,BP_UNSPECIFIED,2,24
BP,GO:0141162,GO:0141162,BP_UNSPECIFIED,2,39
BP,GO:0141163,GO:0141163,BP_UNSPECIFIED,1,12
BP,GO:0141166,GO:0141166,BP_UNSPECIFIED,1,5
BP,GO:0141198,GO:0141198,BP_UNSPECIFIED,2,22
BP,GO:0160020,GO:0160020,BP_UNSPECIFIED,2,12
BP,GO:0160025,GO:0160025,BP_UNSPECIFIED,1,5
BP,GO:0160049,GO:0160049,BP_UNSPECIFIED,2,13
BP,GO:0160063,GO:0160063,BP_UNSPECIFIED,1,8
BP,GO:0160075,GO:0160075,BP_UNSPECIFIED,1,6
BP,GO:0160091,GO:0160091,BP_UNSPECIFIED,1,11
BP,GO:0160162,GO:0160162,BP_UNSPECIFIED,1,5
BP,GO:0160165,GO:0160165,BP_UNSPECIFIED,1,13
BP,GO:0160213,GO:0160213,BP_UNSPECIFIED,1,5
BP,GO:0160239,GO:0160239,BP_UNSPECIFIED,2,10
BP,GO:0160240,GO:0160240,BP_UNSPECIFIED,1,13
BP,GO:0160257,GO:0160257,BP_UNSPECIFIED,1,12
BP,GO:0180010,GO:0180010,BP_UNSPECIFIED,1,12
BP,GO:0180026,GO:0180026,BP_UNSPECIFIED,1,7
BP,GO:0000012,single strand break repair,biological_process,1,6
BP,GO:0000027,ribosomal large subunit assembly,biological_process,1,8
BP,GO:0000028,ribosomal small subunit assembly,biological_process,1,9
BP,GO:0000038,very long-chain fatty acid metabolic process,biological_process,1,13
BP,GO:0000045,autophagosome assembly,biological_process,2,61
BP,GO:0000050,urea cycle,biological_process,1,7
BP,GO:0000056,ribosomal small subunit export from nucleus,biological_process,1,5
BP,GO:0000070,mitotic sister chromatid segregation,biological_process,2,27
BP,GO:0000076,DNA replication checkpoint signaling,biological_process,1,10
BP,GO:0000077,DNA damage checkpoint signaling,biological_process,2,42
BP,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,biological_process,2,20
BP,GO:0000082,G1/S transition of mitotic cell cycle,biological_process,2,76
BP,GO:0000086,G2/M transition of mitotic cell cycle,biological_process,2,43
BP,GO:0000122,negative regulation of transcription by RNA polymerase II,biological_process,2,982
BP,GO:0000132,establishment of mitotic spindle orientation,biological_process,2,30
BP,GO:0000154,rRNA modification,biological_process,1,5
BP,GO:0000165,MAPK cascade,biological_process,2,144
BP,GO:0000183,rDNA heterochromatin assembly,biological_process,1,6
BP,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",biological_process,2,40
BP,GO:0000209,protein polyubiquitination,biological_process,2,153
BP,GO:0000226,microtubule cytoskeleton organization,biological_process,2,124
BP,GO:0000244,spliceosomal tri-snRNP complex assembly,biological_process,2,48
BP,GO:0000245,spliceosomal complex assembly,biological_process,2,48
BP,GO:0000266,mitochondrial fission,biological_process,2,13
BP,GO:0000271,polysaccharide biosynthetic process,biological_process,1,6
BP,GO:0000278,mitotic cell cycle,biological_process,2,116
BP,GO:0000280,nuclear division,biological_process,1,5
BP,GO:0000281,mitotic cytokinesis,biological_process,2,65
BP,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",biological_process,2,22
BP,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,biological_process,2,27
BP,GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,biological_process,1,20
BP,GO:0000301,"retrograde transport, vesicle recycling within Golgi",biological_process,1,5
BP,GO:0000302,response to reactive oxygen species,biological_process,1,12
BP,GO:0000303,response to superoxide,biological_process,1,6
BP,GO:0000338,protein deneddylation,biological_process,2,14
BP,GO:0000375,"RNA splicing, via transesterification reactions",biological_process,2,35
BP,GO:0000379,tRNA-type intron splice site recognition and cleavage,biological_process,1,5
BP,GO:0000380,"alternative mRNA splicing, via spliceosome",biological_process,2,28
BP,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",biological_process,2,99
BP,GO:0000387,spliceosomal snRNP assembly,biological_process,2,78
BP,GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),biological_process,2,40
BP,GO:0000389,mRNA 3'-splice site recognition,biological_process,1,5
BP,GO:0000398,"mRNA splicing, via spliceosome",biological_process,2,225
BP,GO:0000422,autophagy of mitochondrion,biological_process,2,19
BP,GO:0000423,mitophagy,biological_process,2,45
BP,GO:0000425,pexophagy,biological_process,2,18
BP,GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process,1,5
BP,GO:0000448,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process,1,5
BP,GO:0000451,rRNA 2'-O-methylation,biological_process,1,7
