source_file,analysis_scope,engine,sample_id,chip,filter_regime,latent_model_id,geo_accession,title,platform_id,tissue,disease,state,comparison,short_label,plot_label,tissue_label,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
latent_sample_coordinates.csv,latent_space,latent,GSM1686773_CL2000062805AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686773,golub-00236: CL2000062805AA,GPL98,Prostate,prostate adenocarcinoma,cancer,Prostate/prostate adenocarcinoma,PR/PRAD,PRAD,prostate_prostate.adenocarcinoma,-0.8910984,5.696705,-4.469275,7.692773,8.939398,0.9928987,-1.0794744,13.861112,-3.5149808,4.7765107
latent_sample_coordinates.csv,latent_space,latent,GSM1686774_CL2000062807AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686774,golub-00236: CL2000062807AA,GPL98,Prostate,prostate adenocarcinoma,cancer,Prostate/prostate adenocarcinoma,PR/PRAD,PRAD,prostate_prostate.adenocarcinoma,7.145813,3.6014342,2.1032214,6.6631365,4.7241645,-5.885802,-0.047317743,15.595482,-6.074564,2.2512252
latent_sample_coordinates.csv,latent_space,latent,GSM1686775_CL2000062808AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686775,golub-00236: CL2000062808AA,GPL98,Prostate,normal,normal,NA,NA,NA,prostate,1.7500576,5.6597824,-0.2745402,9.270736,7.2508535,0.17647675,-0.93346936,14.510089,-3.5296144,5.140491
latent_sample_coordinates.csv,latent_space,latent,GSM1686789_CL2000071829AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686789,golub-00236: CL2000071829AA,GPL98,Pancreas,normal,normal,NA,NA,NA,pancreas,11.663876,6.3993125,-11.456659,12.533592,10.969925,3.032189,-8.057707,-2.5547357,1.0574888,9.112515
latent_sample_coordinates.csv,latent_space,latent,GSM1686790_CL2000071830AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686790,golub-00236: CL2000071830AA,GPL98,Pancreas,normal,normal,NA,NA,NA,pancreas,3.2355628,7.6571827,-14.741581,5.6284723,31.265846,2.1083558,-3.0396893,-18.40077,22.838043,13.950647
latent_sample_coordinates.csv,latent_space,latent,GSM1686791_CL2000071832AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686791,golub-00236: CL2000071832AA,GPL98,Bladder,normal,normal,NA,NA,NA,bladder,2.9658957,5.3208303,16.233982,1.1806096,-20.646545,5.61206,-5.0631166,18.531624,25.70999,2.6236324
latent_sample_coordinates.csv,latent_space,latent,GSM1686792_CL2000071833AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686792,golub-00236: CL2000071833AA,GPL98,Pancreas,pancreatic adenocarcinoma,cancer,Pancreas/pancreatic adenocarcinoma,PA/PAAD,PAAD,pancreas_pancreatic.adenocarcinoma,14.851103,8.596136,-14.25011,14.181312,11.777682,4.4377694,-8.019804,-6.7938385,3.0569808,8.087021
latent_sample_coordinates.csv,latent_space,latent,GSM1686793_CL2000071834AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686793,golub-00236: CL2000071834AA,GPL98,Skin,melanoma,cancer,Skin/melanoma,NA,NA,skin_melanoma,18.291304,17.068447,-7.28647,0.033875823,-4.0917172,21.538967,-12.106047,17.220366,3.6943715,1.8986186
latent_sample_coordinates.csv,latent_space,latent,GSM1686794_CL2000071838AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686794,golub-00236: CL2000071838AA,GPL98,Bladder,bladder transitional cell carcinoma,cancer,Bladder/bladder transitional cell carcinoma,BLAD/TCC,TCC,bladder_bladder.transitional.cell.carcinoma,10.978075,7.632517,-14.529732,8.270096,22.813576,14.290297,-1.071751,-11.413257,5.920834,14.2289505
latent_sample_coordinates.csv,latent_space,latent,GSM1686795_CL2000071839AA.CEL,hu35ksuba,variance_global,hu35ksuba_variance_global_top3000_vae_z10,GSM1686795,golub-00236: CL2000071839AA,GPL98,Prostate,prostate adenocarcinoma,cancer,Prostate/prostate adenocarcinoma,PR/PRAD,PRAD,prostate_prostate.adenocarcinoma,19.728247,13.761204,-3.4027634,2.1058166,4.785049,23.135147,-9.23335,4.345311,26.509132,3.8977275
