source_file,analysis_scope,chip,group,comparison,filter_regime,engine,gene_set_mode,gene_set_name,matrix_key_normal,matrix_key_tumor,n_shared_probes,n_samples_normal,n_samples_tumor,n_features,entropy_covariance_space,shannon_normal,shannon_tumor,shannon_delta,shannon_direction,spectral_normal,spectral_tumor,spectral_delta,spectral_direction,run_permutation,permutation_metric,permutation_unit,n_perm,p_perm_shannon,p_perm_spectral,run_bootstrap,bootstrap_metric,bootstrap_unit,n_boot,shannon_boot_normal_mean,shannon_boot_normal_ci_lower,shannon_boot_normal_ci_upper,shannon_boot_tumor_mean,shannon_boot_tumor_ci_lower,shannon_boot_tumor_ci_upper,spectral_boot_normal_mean,spectral_boot_normal_ci_lower,spectral_boot_normal_ci_upper,spectral_boot_tumor_mean,spectral_boot_tumor_ci_lower,spectral_boot_tumor_ci_upper,status,p_perm_shannon_fdr,p_perm_spectral_fdr
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BLAD/TCC,limma,entropy,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,3259,7,11,3259,sample,14.452,15.11,0.658,strongly chaotic,0.544,0.635,0.091,neutral,TRUE,spectral,sample_label,100,NA,0.52,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.43543,0.2664500000000001,0.541525,0.5359,0.4218000000000001,0.633625,ok,NA,0.7280000000000001
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BR/BRAD,limma,entropy,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,382,5,11,382,sample,10.874,12.018,1.144,strongly chaotic,0.56,1.166,0.606,strongly chaotic,TRUE,spectral,sample_label,100,NA,0.05,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.44722,0.105,0.668525,0.96227,0.711375,1.164625,ok,NA,0.13
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,COL/COADREAD,limma,entropy,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,1129,11,11,1129,sample,13.574,13.579,0.005,neutral,0.446,0.732,0.286,mildly chaotic,TRUE,spectral,sample_label,100,NA,0,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.39056,0.30517500000000003,0.47314999999999996,0.62225,0.5059,0.7156749999999998,ok,NA,0
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,KID/RCC,limma,entropy,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,330,12,11,330,sample,11.923,11.804,-0.119,mildly anti-chaotic,0.381,0.608,0.227,mildly chaotic,TRUE,spectral,sample_label,100,NA,0,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.33269,0.273975,0.38119999999999993,0.51392,0.36282500000000006,0.64105,ok,NA,0
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,OV/OVAD,limma,entropy,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,180,4,11,180,sample,9.472,10.933,1.461,strongly chaotic,0.743,0.796,0.053,neutral,TRUE,spectral,sample_label,100,NA,0.91,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.5243599999999999,0.273,0.743,0.659,0.42495,0.8371999999999999,ok,NA,0.95
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,PA/PAAD,limma,entropy,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,221,10,10,221,sample,11.086,11.088,0.002,neutral,0.471,0.908,0.437,mildly chaotic,TRUE,spectral,sample_label,100,NA,0,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.38876,0.279325,0.47905,0.7804,0.569375,0.90405,ok,NA,0
entropy_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,UT/EAC,limma,entropy,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,386,6,10,386,sample,11.158,11.89,0.732,strongly chaotic,0.747,0.614,-0.133,mildly anti-chaotic,TRUE,spectral,sample_label,100,NA,0.54,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.61352,0.3307000000000003,0.777,0.50963,0.40742500000000004,0.593,ok,NA,0.7280000000000001
entropy_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/GBM,limma,entropy,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,848,8,10,848,sample,12.707,13.03,0.323,mildly chaotic,0.451,0.665,0.214,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.03,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.36834,0.24365000000000003,0.44514999999999993,0.55528,0.450475,0.63405,ok,NA,0.0975
entropy_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/MB,limma,entropy,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,828,8,10,828,sample,12.671,12.997,0.326,mildly chaotic,0.585,0.791,0.206,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.2,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.47692,0.28695,0.60705,0.65547,0.512325,0.774575,ok,NA,0.37142857142857144
entropy_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/FL,limma,entropy,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.Follicular.lymphoma,1953,6,11,1953,sample,13.491,14.371,0.88,strongly chaotic,0.333,0.575,0.242,mildly chaotic,TRUE,spectral,sample_label,100,NA,0.15,TRUE,spectral,sample,100,NA,NA,NA,NA,NA,NA,0.28241,0.11837500000000001,0.374,0.49019,0.363425,0.574525,ok,NA,0.32499999999999996
